Function,Mean,Median,Std,Range(low),Range(high),Time(mus)
1,1950,1952.68,615.736,118.798,3098.35,1020.14
2,0,0,0,0,0,974.54
3,23.9174,24.0866,1.10022,22.2508,26.9657,826.4
4,69.9268,70.9846,39.6363,0,176.704,998.5
5,7.54952e-17,0,1.05184e-16,0,2.22045e-16,1060.24
6,-29.2017,-29.1782,1.99596,-33.2183,-25.2228,1134.42
7,33.962,33.5439,2.46315,29.9639,42.0306,1844.02
8,-63.7284,-66.6805,12.1979,-81.2184,-31.8776,1459.04
9,29.7443,29.7343,0.0621078,29.6881,29.8793,1615.46
10,-24242.5,-24409.6,1149.65,-25866.4,-20937.9,1435.28
11,-13971.1,-13991.2,155.957,-14230.5,-13637.6,1641.28
12,-16.4097,-16.043,2.40194,-23.3872,-11.7032,1258.2
13,-17.6906,-17.6462,1.58967,-20.9505,-14.4481,1718.08
14,-26.3033,-29,4.44371,-29,-11.3634,1552.3
15,0,0,0,0,0,1072.48
16,0.687824,0.72435,0.183576,0.270877,1.00439,1784.36
17,7.5,7.5,1.65181e-07,7.5,7.5,801.9
18,55.1107,52.2699,23.0505,9.23946,160.26,1005.52
