f,Mean,Median,Std,Range(low),Range(high),Time(mius)
de1,1361.04,1299,357.356,810,2191,756.28
de2,0,0,0,0,0,677.1
de3,1900.34,104.5,7110.6,26,42807,681.76
de4,76.76,70.5,31.4443,36,167,1028.86
de5,1.02,1,0.14,1,2,700.16
de6,-30.3,-30,0.806226,-32,-29,735.24
de7,39.58,40,1.29754,37,43,804.36
de8,-75.76,-76.5,3.41503,-80,-63,1119.14
de9,34.66,30,12.743,29,88,755.38
de10,-16139.9,-15987,1218.48,-19188,-14117,1094.56
de11,-6921.74,-6882.5,289.615,-7740,-6402,860.92
de12,0.44,0,0.80399,-1,3,756.58
de13,-16.18,-16,0.653911,-18,-15,790.66
de14,-6.3,-6,0.608276,-8,-5,778.9
de15,0,0,0,0,0,698.84
de16,0,0,0,0,0,790.64
de17,8.1,8,0.3,8,9,674.02
de18,10.42,6.5,11.7611,0,49,1066.92
