Function,Mean,Median,Std,Range(low),Range(high),Time(mus)
1,3362.68,3331.31,66.2482,3213.1,3442.61,2733.64
2,5747.58,5683.5,1702.59,2385.87,10405.1,2513.8
3,5.22249e+08,4.67845e+08,2.61434e+08,9.48906e+07,1.0774e+09,1860.66
4,834.404,819.938,165.179,586.477,1357.83,1915.22
5,36.3898,34.4532,11.3639,17.9603,59.2523,2022.12
6,-22.3977,-22.304,0.481364,-23.9005,-21.5423,2003.74
7,60.7445,61.1031,2.03632,56.1954,64.4033,2929.2
8,123.431,124.565,24.4519,72.4132,179.634,2451.32
9,311.113,313.429,26.9556,262.363,391.099,2810.86
10,-18347.3,-18400,1304.22,-21656.4,-14536.2,2528.98
11,-13539.2,-13554.7,93.6786,-13686.9,-13278.3,2687.1
12,-8.7762,-8.95505,1.2941,-11.794,-6.09565,2209.22
13,-9.94114,-9.91784,0.391355,-10.9376,-9.19078,2803.18
14,-2.81039,-2.62756,0.616388,-5.09268,-2.15578,2679.4
15,1.12282e+08,9.41429e+07,6.48114e+07,2.50417e+07,3.25568e+08,2107.16
16,41.2083,38.5155,14.4798,18.9525,79.6705,2876.66
17,5743.79,5510.27,1621.83,2525.78,9091.88,1686.48
18,297.308,299.744,32.2621,225.295,398.598,1858.2
