Strategy,Mean,Median,Std,low,high,Time(mus)
GA,4.861e+07,3.24196e+07,5.59477e+07,4.05516e+06,3.08714e+08,305.38
DE1,0,0,0,0,0,698.84
DE2,127476,127692,37980.7,46664,215190,933.18
DE3,0,0,0,0,0,724.16
DE4,22178.6,17784,14381.7,2832,73806,1009.38
DE5,1.45695e+07,1.48634e+07,3.19486e+06,8.01007e+06,2.21765e+07,1313.34
DE6,0.14,0,0.346987,0,1,1037.82
DE7,1.21549e+06,1.18309e+06,321852,511087,2.62293e+06,1429.88
DE8,0.08,0,0.337046,0,2,1083.32
DE9,54875,33093,74223.7,4877,447640,1550.56
DE10,1.2305e+08,1.27472e+08,2.58943e+07,5.2815e+07,1.74217e+08,2092.84
PSO,2.35387e+08,2.00422e+08,2.62477e+08,1435.67,1.2e+09,1298.08
MFO,2.24617e+06,165755,1.39795e+07,26718.6,1.0009e+08,1639.16
CS,4.81384e+07,4.34677e+07,2.10456e+07,2.04608e+07,8.46703e+07,449.9
WOA,0,0,0,0,0,1072.48
