Run#,Result,Solution
1,12.1434,[-0.124464 -12.6924 -62.9189 0.197445 -94.3908 -78.43 -0.324853 -9.39495 -18.948 -50.3652 59.7946 -12.6664 -2.93453 -97.289 -3.02469 72.3484 -6.36685 -15.5904 -3.07573 -59.5824 -75.4976 -18.9764 -47.0148 0.0942674 -6.37989 -44.0868 -40.7436 -69.2341 -6.46213 -0.335022 ]
2,8.12124,[-15.6418 0.00579283 -97.3191 -28.1763 -34.4409 -18.9234 -0.0999203 -9.33872 -3.01957 -9.32498 -6.38285 -12.6676 -34.4594 -18.9654 -6.38528 -0.271344 -3.06953 -21.8569 -0.381371 -6.3638 -9.31337 -15.6008 -9.31643 -37.7902 -21.8742 0.156675 -53.3137 -69.2195 -15.6198 -0.0213748 ]
3,6.63447,[-91.0258 -0.0679066 -0.782303 -21.895 -31.5172 -0.27018 -3.18369 -0.00279307 -9.3423 -34.4572 -12.5934 -18.9423 -21.8956 -25.2412 -9.32303 -18.9373 -0.0191607 -0.290945 -0.196514 -28.19 3.14436 -50.3669 -34.4693 -84.7215 -18.9286 0.127327 0.0781541 -6.36916 -0.0719986 -0.202588 ]
4,9.23559,[47.2307 -6.28748 -91.0267 -3.03077 0.00488091 -0.0338294 -0.0668485 -0.105265 -34.459 -0.109041 -3.09684 -69.2107 -15.6251 15.8164 -31.5357 -65.8662 -18.9353 40.929 -40.7407 -12.6987 -2.91047 -18.9494 -9.35661 -47.014 -2.99815 0.104902 -50.3811 -21.8554 -18.9377 -31.5215 ]
5,5.73291,[-12.6534 -25.2656 -72.1586 -0.428224 -18.9339 -59.584 -15.6108 -6.39639 -47.0245 -6.38942 -28.1639 -3.0324 25.0345 -9.3605 0.0108337 -12.6544 -0.0695281 0.127899 -84.7222 0.0154879 -0.537157 -3.02821 0.135088 -15.6102 -65.8616 -18.9589 -47.0235 -59.5867 -15.6016 -97.2781 ]
6,12.9256,[3.34722 -6.3269 -72.1609 -91.003 -78.4451 0.243013 -81.7861 -19.0257 -0.133665 75.3036 -21.8817 -31.5185 -97.315 -18.9585 0.011694 -37.8071 -9.32167 -65.8818 -47.0211 -6.36843 -9.32634 -91.0485 50.1721 -6.371 -0.0956601 -6.36173 -12.6524 -9.3341 -25.2265 0.0390768 ]
7,10.7456,[-0.130218 -0.390546 -0.0774625 -0.00250733 -9.27827 -34.402 -37.8021 -0.14919 -12.6557 -0.294146 -3.05076 -37.8194 -12.6614 -3.07224 -0.406268 -47.0063 -47.0277 -90.9707 -31.5146 -18.9511 0.0440685 -0.284084 0.0957682 -18.9755 -21.8951 -65.8929 0.059253 -25.2281 -6.40082 -56.6576 ]
8,10.0939,[-3.09087 -25.2222 -34.4688 -0.311783 -15.6025 -84.7279 -0.149605 -12.6269 -21.9077 0.373444 -34.4502 3.23658 -12.6535 -88.049 -69.2165 -3.04214 -2.99123 -0.128188 -2.99267 -12.6764 -18.9278 -34.478 -31.5215 -3.08041 -0.407897 -21.8756 -97.3217 50.1595 -15.6079 -6.37942 ]
9,3.62233,[-28.1779 -34.4463 -0.0502304 -6.3682 -3.01389 -0.168868 -6.38314 -21.8915 0.15264 -0.180725 -28.1703 -9.3253 -9.30994 0.241865 -0.234337 -0.382362 -3.07489 0.0920639 -0.318095 -69.2129 -0.132351 -18.9582 -12.6898 -25.244 -37.8066 -0.0323486 -59.5998 -75.4922 -12.6664 -3.03549 ]
10,10.4479,[-69.2279 34.6609 -18.9457 -3.03806 -12.6403 -18.9518 0.0243756 -6.32493 -91.0419 -3.31554 -12.6625 -78.4614 -37.8003 -78.4414 0.133513 -0.651941 -3.03874 -78.4352 0.210888 -18.9486 0.220968 -15.5351 0.0496783 -6.39254 -3.04378 -9.34394 -3.05613 -0.195254 -31.5127 -3.08737 ]
