Run#,Result,Solution
1,1519.91,[-0.535905 -0.107866 -0.0211978 -12.0332 -4.10726 -0.565048 -0.491022 -0.644375 -1.7938 -24.5951 0.0747288 -0.252556 -14.5421 -2.622 -1.13249 -0.539509 -14.1321 -3.71977 -2.56472 -0.205625 -6.78288 -0.797134 -0.205009 -10.2331 -0.765297 -9.71964 -0.256633 0.0438861 -0.332877 -7.87589 ]
2,2174.84,[-2.04753 -0.00725645 -1.2585 -17.6059 -3.81773 -1.44619 -21.7679 -0.564188 -19.2424 -0.0140447 -17.5325 -2.94086 -0.349716 -12.1343 -0.34516 0.0168995 -1.76608 -1.43501 -7.56253 -0.33635 -6.33343 0.0379751 -16.157 -11.2393 0.120385 -0.0688812 -3.07746 -2.63791 -5.29724 -0.0415916 ]
3,1018.04,[-8.27567 -0.274804 -2.54822 -0.623646 -0.096287 -0.806049 -0.994438 -0.699455 -0.189857 -0.498948 -1.72838 -2.70496 -2.0106 0.0199154 -6.1097 0.0142167 -5.86077 0.251664 -2.07553 -3.97182 -0.16776 -13.3583 -5.60754 -2.09428 -10.5438 -1.48895 -0.103736 -19.8589 -1.27098 -10.5026 ]
4,1602.36,[-2.12786 -3.26939 -8.79617 0.0127608 -4.30816 -0.336078 -9.60096 -0.552104 0.168009 -4.03474 -0.0611935 -2.78529 -3.71306 -2.75835 -0.303811 -0.0997892 0.127729 -5.97488 -7.92167 0.219405 -25.8032 -0.0787094 -0.530144 0.0143551 -0.601002 -9.63445 -14.3926 -16.0478 -0.14807 -5.52819 ]
5,1281.96,[0.124772 -2.27196 -1.5361 -0.368732 -0.198889 -1.74444 -1.40159 0.0173281 0.0529943 -2.61354 -3.1272 -14.9925 -12.8963 -10.5299 -0.0462073 -0.136916 -0.122928 -9.8224 -7.61616 -0.210208 -6.08616 0.0767365 -0.370025 -22.7678 -0.861964 -0.242236 -0.605606 -1.68125 0.0966184 -6.04443 ]
6,3812.6,[-1.59409 0.00711823 -8.45908 -0.251743 -29.4709 -4.64328 -1.08017 -29.4451 -33.2884 -0.177006 -0.455503 -0.329291 -0.825532 -0.634705 0.108548 -1.82437 -12.6476 -1.97734 -11.1077 0.0419388 -1.53434 -5.21836 -20.3863 -2.11873 -0.973717 -9.63836 -0.0163159 0.0411364 -6.01505 -0.560898 ]
7,1071.44,[-0.232696 0.171021 -0.571178 -0.246034 -0.792388 -0.585868 -1.04638 -0.370221 -6.53923 -5.69674 -0.787949 -0.357811 -12.5763 -0.205138 -5.46151 -0.469026 -18.7307 -12.2262 -0.567426 0.0168377 -0.0502271 -0.484022 -2.80828 -16.7399 -1.76585 -0.0395326 -1.07093 -2.73223 -1.80108 -0.763807 ]
8,3727.38,[-7.82181 -3.5 -10.6914 -0.47522 -22.2838 -1.7277 0.146012 0.13541 -0.439673 -0.610128 0.129991 -2.1418 -2.23858 -1.01171 -35.5373 -7.98672 -31.6911 -0.977758 -1.34853 -0.0318936 0.0458975 -15.9975 0.192655 -0.00262049 -0.228177 -0.090066 -20.0839 0.054979 -3.76022 -4.6157 ]
9,3124.58,[-3.80998 -13.1579 -1.34841 -6.10897 -0.662086 -16.2165 -2.98466 -0.0707378 -7.36543 -1.83696 -6.19786 -5.05507 -34.1615 -3.34277 -0.0861568 -0.369407 -3.0803 0.243202 -5.58094 -0.706539 -0.143949 -3.03936 -0.817872 -0.356582 -7.58698 -32.6878 -2.27087 -11.9047 -1.16546 -0.083047 ]
10,3635.21,[-6.34637 -2.14859 -0.685703 -3.23994 -6.02619 -4.71085 -0.197125 -3.51224 -0.587775 -0.571355 -26.2215 -0.350678 -12.8263 -23.7806 -1.30311 -27.2408 -0.0301181 -0.0470951 -11.8284 -23.56 -2.91603 -0.350857 -0.0369226 -0.0866184 -24.1982 -1.64559 -6.03603 -3.32591 -1.2159 -2.33586 ]
11,1864.31,[-11.9374 -0.124625 -0.39165 -0.516342 -0.0514689 -0.0236485 -0.143569 -0.00306028 -0.332776 -11.0939 -1.61157 -0.717102 0.0599439 -17.8024 -4.16152 -8.47699 -0.155496 -2.73775 -8.18237 -1.78719 0.0207057 0.134228 -11.9252 -10.6735 -1.08044 -24.8556 -0.217046 0.0376738 -15.3658 0.0495313 ]
12,5535.9,[-20.6719 -0.34383 -16.5337 -7.01715 -0.220642 -15.8888 -1.90084 -16.5767 -4.98102 -0.594395 -8.59455 -7.83539 -24.2601 -19.2788 -3.92401 -5.95415 0.0185475 -4.66089 -29.3415 -15.1562 -5.23478 -1.02635 -0.0750016 -41.9228 -1.11517 0.0251003 -5.5284 0.0829096 -12.3769 -0.324225 ]
