Strategy,Mean,Median,Std,Range(low),Range(high),Time(mius)
DE1,-6921.74,-6882.5,289.615,-7740,-6402,860.92
DE2,-6229.62,-6159.5,246.317,-6825,-5707,1121.9
DE3,-5980.32,-5996.5,274.006,-6705,-5259,830.28
DE4,-6561.34,-6528,290.008,-7371,-6002,1342.46
DE5,-6227.1,-6220,226.735,-6795,-5706,1655
DE6,-5514.84,-5471,705.905,-8132,-4595,1184.66
DE7,-4309.44,-4311,293.502,-5109,-3658,1655.42
DE8,-4286.62,-4258.5,363.627,-5446,-3722,1184.28
DE9,-4780.58,-4736,253.022,-5415,-4285,1953.88
DE10,-4385.7,-4318,300.093,-5454,-3891,2519.96
